id,hostel_id,room_number,floor,capacity,occupied_count,created_at
"b1111111-1111-4111-8111-111111111101","11111111-1111-4111-8111-111111111111","A-101",1,3,2,"2026-06-01T08:30:00Z"
"b1111111-1111-4111-8111-111111111102","11111111-1111-4111-8111-111111111111","A-102",1,2,1,"2026-06-01T08:30:00Z"
"b1111111-1111-4111-8111-111111111201","11111111-1111-4111-8111-111111111111","A-201",2,3,1,"2026-06-01T08:30:00Z"
"b1111111-1111-4111-8111-111111111202","11111111-1111-4111-8111-111111111111","A-202",2,2,0,"2026-06-01T08:30:00Z"
"b1111111-1111-4111-8111-111111111301","11111111-1111-4111-8111-111111111111","A-301",3,4,0,"2026-06-01T08:30:00Z"
"b2222222-2222-4222-8222-222222222101","22222222-2222-4222-8222-222222222222","B-101",1,2,2,"2026-06-01T08:30:00Z"
"b2222222-2222-4222-8222-222222222102","22222222-2222-4222-8222-222222222222","B-102",1,2,1,"2026-06-01T08:30:00Z"
"b2222222-2222-4222-8222-222222222201","22222222-2222-4222-8222-222222222222","B-201",2,3,1,"2026-06-01T08:30:00Z"
"b2222222-2222-4222-8222-222222222202","22222222-2222-4222-8222-222222222222","B-202",2,3,0,"2026-06-01T08:30:00Z"
"b3333333-3333-4333-8333-333333333101","33333333-3333-4333-8333-333333333333","C-101",1,4,0,"2026-06-01T08:30:00Z"
"b3333333-3333-4333-8333-333333333102","33333333-3333-4333-8333-333333333333","C-102",1,4,0,"2026-06-01T08:30:00Z"
